utc,X,Y,Z
435057999640064,-2547755.47682241,-4258027.52256432,3899515.10771467
435058999640064,-2547757.47452554,-4258019.05405727,3899500.95637016
435059999640064,-2547758.70755649,-4258009.35182165,3899488.21100696
435060999640064,-2547764.99489381,-4258002.7443715,3899472.41619355
435061999640064,-2547763.50994111,-4257988.29074938,3899453.66130626
435062999640064,-2547771.09416618,-4257982.46809985,3899442.27276711
435063999640064,-2547774.0329926,-4257975.35721088,3899426.24162222
435064999640064,-2547767.24658016,-4257959.12015399,3899405.94014073
435065999640064,-2547767.60634159,-4257947.73453701,3899392.09325868
435066999640064,-2547773.21396642,-4257938.35779239,3899375.12393054
435067999640064,-2547776.96167181,-4257924.15482478,3899355.1890369
435068999640064,-2547779.41554858,-4257913.54818853,3899340.16971299
435069999640064,-2547786.83561782,-4257912.37980356,3899321.26348201
435070999640064,-2547791.59316182,-4257903.40317257,3899307.36175624
435071999640064,-2547792.29317275,-4257901.05966149,3899294.80327368
435072999640064,-2547787.74552005,-4257885.39891238,3899277.47092965
435073999640064,-2547791.59641885,-4257873.85419357,3899258.02174082
435074999640064,-2547795.06589943,-4257866.13330002,3899244.464204
435075999640064,-2547798.94428968,-4257859.12076855,3899232.07143332
435076999640064,-2547799.79336998,-4257848.32537935,3899220.98931691
435077999640064,-2547799.93606305,-4257836.5278621,3899205.39087053
435078999640064,-2547804.06479898,-4257829.29433571,3899187.42675893
435079999640064,-2547803.74009658,-4257815.71160053,3899172.30097854
435080999640064,-2547802.92682007,-4257806.97329156,3899155.85879994
435081999640064,-2547805.37093771,-4257796.81347646,3899144.42611293
