utc,X,Y,Z
435258999889920,-2553102.23920071,-4258430.73939477,3904815.55672433
435259999889920,-2553099.15238436,-4258419.09308585,3904793.32357644
435260999889920,-2553099.57928548,-4258403.91047116,3904777.34792808
435261999889920,-2553095.41085013,-4258385.0528798,3904760.18374395
435262999889920,-2553093.35178794,-4258376.07418099,3904749.93161842
435263999889920,-2553095.90780532,-4258361.92857623,3904735.86207486
435264999889920,-2553099.54873374,-4258354.39938224,3904722.44339855
435265999889920,-2553104.76894004,-4258346.34554792,3904713.96557129
435266999889920,-2553107.48810899,-4258337.84555505,3904700.84790817
435267999889920,-2553115.39054856,-4258331.15695138,3904687.18372026
435268999889920,-2553119.73065234,-4258325.53631942,3904675.77972301
435269999889920,-2553123.24751541,-4258313.80565229,3904664.53234125
435270999889920,-2553131.87196445,-4258303.01061598,3904653.6390548
435271999889920,-2553138.03913697,-4258291.27725679,3904632.92178372
435272999889920,-2553138.63424454,-4258285.01847245,3904611.99339523
435273999889920,-2553137.37622696,-4258272.84533548,3904594.0889302
435274999889920,-2553142.76024747,-4258263.73354977,3904587.30888127
435275999889920,-2553149.58682308,-4258258.88795404,3904577.58301401
435276999889920,-2553146.13663457,-4258245.24144737,3904559.57573378
435277999889920,-2553150.67451368,-4258235.39140379,3904550.58663774
435278999889920,-2553155.47219353,-4258225.45658415,3904541.98755766
435279999889920,-2553164.89280563,-4258206.95104635,3904536.29845613
435280999889920,-2553155.50314421,-4258209.9262642,3904511.19869971
435281999889920,-2553161.64734513,-4258204.11336383,3904503.58993287
435282999889920,-2553162.6694159,-4258183.59483732,3904487.70373859
