utc,X,Y,Z
433694999740160,-2520854.02062331,-4235265.91472266,3853146.21363261
433695999740160,-2520864.83889111,-4235252.31456584,3853129.34623201
433696999740160,-2520871.40877099,-4235243.10455906,3853116.84690359
433697999740160,-2520880.03276545,-4235230.60035577,3853100.8737387
433698999740160,-2520885.87425389,-4235220.1363821,3853083.68131459
433699999740160,-2520895.36910431,-4235228.24818038,3853087.08170515
433700999740160,-2520917.08331298,-4235268.56491274,3853120.26535686
433701999740160,-2520918.27455166,-4235216.62675759,3853066.6263901
433702999740160,-2520924.99309513,-4235207.67651993,3853060.06838967
433703999740160,-2520938.36833679,-4235199.39299739,3853053.02402543
433704999740160,-2520949.81863476,-4235198.52810827,3853038.24314401
433705999740160,-2520959.72344724,-4235192.14838988,3853028.32132246
433706999740160,-2520966.91757674,-4235179.97666028,3853015.18562941
433707999740160,-2520974.70316999,-4235167.15467432,3853001.51008352
433708999740160,-2520981.06107835,-4235139.46875352,3852973.68289261
433709999740160,-2520989.49806835,-4235123.41023576,3852953.51956281
433710999740160,-2520999.20170844,-4235105.38045534,3852941.44900134
433711999740160,-2521007.65859973,-4235109.26297022,3852929.41178699
433712999740160,-2521015.06577086,-4235101.29008344,3852919.49865894
433713999740160,-2521023.46276589,-4235093.29358776,3852902.2212386
433714999740160,-2521033.80761473,-4235081.31805572,3852895.39428292
433715999740160,-2521045.53079747,-4235067.40640418,3852884.59274599
433716999740160,-2521053.27474809,-4235048.16664973,3852870.08222599
433717999740160,-2521064.45376515,-4235039.494537,3852859.42312465
433718999740160,-2521074.66673067,-4235032.28851026,3852848.62200244
433719999740160,-2521088.02273745,-4235026.76222585,3852841.56082486
433720999740160,-2521095.69721448,-4235014.41038984,3852831.32172425
433721999740160,-2521108.79408528,-4235008.08711661,3852821.10929548
433722999740160,-2521116.64945407,-4234995.8919726,3852804.4964557
433723999740160,-2521129.5507731,-4234989.57500346,3852795.73704372
433724999740160,-2521140.44963763,-4234980.67127604,3852789.91764624
433725999740160,-2521147.50571993,-4234969.83683357,3852773.4932515
433726999740160,-2521148.64397881,-4234954.72302657,3852751.52555846
433727999740160,-2521163.04526506,-4234950.95988087,3852747.35177841
433728999740160,-2521171.60138744,-4234939.93336399,3852737.96855084
