utc,X,Y,Z
434028999990016,-2523963.21118367,-4232091.45227745,3849457.56704617
434029999990016,-2523968.36069649,-4232082.14802313,3849441.97930728
434030999990016,-2523976.97095506,-4232079.5818517,3849433.65535445
434031999990016,-2523985.72201765,-4232068.12200839,3849420.88760026
434032999990016,-2523992.40491308,-4232049.53244281,3849404.97317059
434033999990016,-2524001.48726413,-4232044.50479868,3849396.66072491
434034999990016,-2524011.80387193,-4232033.71266538,3849386.62920363
434035999990016,-2524018.19224849,-4232022.16617623,3849371.25855203
434036999990016,-2524025.51624813,-4232010.40593075,3849357.61467874
434037999990016,-2524035.57120864,-4232003.19223201,3849350.89397446
434038999990016,-2524046.39922826,-4232003.89327482,3849344.65224477
434039999990016,-2524057.02949084,-4231998.4893146,3849336.1133459
434040999990016,-2524060.16060049,-4231988.98775059,3849319.02773618
434041999990016,-2524071.78520494,-4231984.19313131,3849311.30563107
434042999990016,-2524087.36977917,-4231969.85544556,3849303.46410967
434043999990016,-2524098.63145121,-4231956.29370628,3849295.77594653
434044999990016,-2524103.93272267,-4231947.70945183,3849283.28182235
434045999990016,-2524112.65676819,-4231941.23484709,3849275.91004263
434046999990016,-2524119.54629431,-4231929.15357837,3849264.62752931
434047999990016,-2524134.91562574,-4231925.66672532,3849257.73967991
434048999990016,-2524148.14449813,-4231915.75821147,3849249.2384821
434049999990016,-2524145.0308322,-4231894.59597416,3849233.07315136
434050999990016,-2524158.72958757,-4231888.36085244,3849220.66311808
434051999990016,-2524177.98158026,-4231892.10076883,3849221.79970248
434052999980032,-2524181.14745233,-4231870.08367337,3849197.71433453
434053999980032,-2524193.89247783,-4231866.12584997,3849193.47883757
434054999980032,-2524201.84080736,-4231857.11334389,3849182.10978762
434055999980032,-2524211.59826177,-4231846.06162052,3849172.58236898
