utc,X,Y,Z
432104000339968,-2521986.90164074,-4189206.96265476,3791219.59516625
432105000339968,-2521993.37932912,-4189179.26318352,3791194.01240352
432106000339968,-2522001.68774105,-4189154.32832312,3791167.76151925
432107000339968,-2522011.55981792,-4189130.21600967,3791149.73056689
432108000339968,-2522018.09675324,-4189105.2148454,3791127.93756773
432109000339968,-2522033.92176229,-4189086.09151709,3791114.11195341
432110000339968,-2522041.28898787,-4189064.42013566,3791093.54140581
432111000339968,-2522050.84876241,-4189041.47382808,3791074.86540712
432112000339968,-2522061.46065141,-4189014.15795945,3791059.01562255
432113000339968,-2522072.76350098,-4188993.00326694,3791039.35377133
432114000339968,-2522083.10096906,-4188970.63808848,3791018.35303092
432115000339968,-2522092.65190694,-4188951.21082917,3791001.74586784
432116000330240,-2522102.91146459,-4188923.35885068,3790981.31058208
432117000330240,-2522110.73872438,-4188902.74951014,3790966.31532053
432118000330240,-2522120.63049397,-4188878.40423254,3790946.94112965
432119000330240,-2522134.10374958,-4188855.00446915,3790929.23736033
432120000330240,-2522144.5874029,-4188827.28439777,3790910.84200459
432121000330240,-2522156.79830781,-4188808.45844438,3790902.35632918
432122000330240,-2522159.83514029,-4188789.74049118,3790894.89360774
432123000330240,-2522173.2515033,-4188771.02570248,3790883.3350978
432124000330240,-2522184.64545298,-4188751.1098721,3790863.11742094
432125000330240,-2522193.78348514,-4188726.75903209,3790835.81424145
432126000330240,-2522197.19757083,-4188699.66047623,3790799.63908847
432127000330240,-2522208.59948787,-4188684.26057324,3790788.12821089
432128000330240,-2522217.25457532,-4188665.91094003,3790765.42065931
432129000330240,-2522233.16337622,-4188629.48744397,3790752.53587173
432130000330240,-2522242.02694305,-4188606.31887966,3790743.39582409
432131000330240,-2522254.79219608,-4188584.47192304,3790723.60366761
432132000330240,-2522259.74215096,-4188557.12799126,3790694.8487335
432133000330240,-2522269.90598446,-4188534.7052503,3790672.49629214
432134000330240,-2522280.31051022,-4188515.11500335,3790660.79096241
432135000330240,-2522294.17320134,-4188492.96167405,3790641.87086651
