utc,X,Y,Z
432672000419840,-2527205.05173689,-4175239.91902555,3781423.03417998
432673000419840,-2527213.84642366,-4175222.64246103,3781414.69180669
432674000419840,-2527225.61632767,-4175183.93119318,3781402.44640532
432675000419840,-2527234.63926571,-4175157.58619581,3781385.20016995
432676000419840,-2527242.23915326,-4175134.36007237,3781375.27863098
432677000419840,-2527253.88297565,-4175108.32090508,3781364.9144453
432678000419840,-2527260.88498841,-4175080.43717302,3781345.81233897
432679000419840,-2527268.56544878,-4175057.36643436,3781332.4909284
432680000419840,-2527273.65454876,-4175026.92376997,3781309.13081503
432681000419840,-2527284.4523173,-4175002.78685345,3781300.6879052
432682000419840,-2527293.86567135,-4174978.16319875,3781280.83488396
432683000419840,-2527302.21527284,-4174951.68603805,3781266.45155529
432684000419840,-2527309.78107618,-4174921.50188888,3781249.78835485
432685000419840,-2527319.33234199,-4174893.86575995,3781231.37880715
432686000419840,-2527330.48919913,-4174865.28199068,3781218.12903036
432687000419840,-2527342.55812774,-4174842.07847314,3781206.83402895
432688000419840,-2527344.09105642,-4174817.10281717,3781194.12423021
432689000419840,-2527355.2688909,-4174792.87006124,3781179.40351562
432690000419840,-2527360.56747068,-4174762.8532221,3781162.40046931
432691000419840,-2527370.1023027,-4174735.2628995,3781143.12581942
432692000419840,-2527377.23743147,-4174709.46545656,3781128.71393655
432693000419840,-2527384.65646971,-4174674.54732116,3781107.29705591
432694000409856,-2527395.63936708,-4174651.87765172,3781094.97775563
432695000409856,-2527402.02624225,-4174635.3019964,3781085.54359134
432696000409856,-2527410.14309664,-4174603.86104072,3781065.5972034
432697000409856,-2527417.99303955,-4174580.72256985,3781051.13144168
432698000409856,-2527429.81866999,-4174559.88597307,3781032.12941765
432699000409856,-2527441.4986486,-4174543.1349219,3781026.58323422
432700000409856,-2527451.88989349,-4174499.63337745,3781012.46118557
