utc,X,Y,Z
432103999579904,-2521983.8607876,-4189198.45670235,3791203.97801302
432104999579904,-2521995.6741306,-4189175.84546798,3791184.73559105
432105999579904,-2522005.28693788,-4189156.82456692,3791168.3009384
432106999579904,-2522015.63097058,-4189135.33490704,3791151.68982537
432107999579904,-2522025.26655705,-4189114.0761175,3791132.23110728
432108999579904,-2522034.16571508,-4189088.23857329,3791112.66109487
432109999579904,-2522044.11320295,-4189070.39048311,3791093.61902728
432110999579904,-2522053.80569344,-4189048.0703888,3791077.4892188
432111999579904,-2522062.87550981,-4189023.51629682,3791055.78329344
432112999579904,-2522075.81194072,-4189002.48604189,3791037.27634945
432113999579904,-2522087.32429011,-4188978.6209265,3791020.79337616
432114999579904,-2522096.18895513,-4188955.84880961,3791003.39912981
432115999579904,-2522105.95902885,-4188932.04995547,3790985.36758895
432116999579904,-2522119.63065502,-4188912.65994766,3790971.12139476
432117999579904,-2522128.619537,-4188890.80826801,3790952.02645567
432118999579904,-2522138.38372151,-4188867.28445958,3790933.38537177
432119999579904,-2522150.15778711,-4188847.55337743,3790921.28500852
432120999579904,-2522156.35864733,-4188811.51962745,3790905.18446334
432121999579904,-2522162.60551094,-4188788.24559581,3790891.23324662
432122999579904,-2522170.27447785,-4188764.49318603,3790880.90776559
432123999579904,-2522200.11587397,-4188751.122363,3790869.98636666
432124999579904,-2522206.01912678,-4188725.16084439,3790850.85348136
432125999579904,-2522215.33463186,-4188700.27580881,3790831.61410973
432126999579904,-2522225.08828293,-4188681.36175373,3790819.19299
432127999579904,-2522225.88107485,-4188650.72938759,3790774.686987
432128999579904,-2522236.16953118,-4188627.72333094,3790756.22252007
432129999579904,-2522246.23969831,-4188610.02130783,3790738.70774643
432130999579904,-2522255.48118302,-4188587.2956892,3790723.90583593
432131999579904,-2522266.43915648,-4188565.82916592,3790708.6798065
432132999579904,-2522274.26657395,-4188543.63440129,3790683.24837122
432133999569920,-2522284.3672922,-4188520.68001623,3790667.66175817
432134999569920,-2522294.90066036,-4188500.57967858,3790650.83257024
