utc,X,Y,Z
434098999680000,-2524610.89951405,-4231446.06974609,3848750.47753506
434099999680000,-2524620.85677008,-4231437.85402346,3848739.34705982
434100999680000,-2524632.3616334,-4231430.71579751,3848731.16733714
434101999680000,-2524640.69107817,-4231419.21962808,3848719.1306757
434102999680000,-2524650.28755072,-4231410.00943499,3848708.99111105
434103999680000,-2524657.79320717,-4231404.71361241,3848702.36997743
434104999680000,-2524666.55664374,-4231401.11822852,3848693.56336331
434105999680000,-2524673.857895,-4231392.94238786,3848680.36757866
434106999680000,-2524684.91437415,-4231390.6566728,3848673.55764291
434107999680000,-2524696.62666866,-4231381.85532511,3848664.25169237
434108999680000,-2524698.86921981,-4231350.44548543,3848638.33333195
434109999680000,-2524712.09637823,-4231349.2313474,3848636.98169727
434110999680000,-2524721.66968538,-4231352.41177398,3848626.77711524
434111999680000,-2524729.05412111,-4231347.43764854,3848607.78970674
434112999680000,-2524737.69196764,-4231339.54782341,3848598.00157507
434113999680000,-2524749.18227397,-4231334.44321434,3848588.21316086
434114999680000,-2524754.95178038,-4231321.25069416,3848577.76025178
434115999670016,-2524765.54004848,-4231314.97942311,3848569.75643236
434116999670016,-2524775.26195703,-4231306.08092752,3848559.11567162
434117999670016,-2524785.43737571,-4231299.81321248,3848556.98845034
434118999670016,-2524789.57420399,-4231283.17696967,3848540.41263907
434119999670016,-2524801.90103096,-4231278.28054169,3848535.43533993
434120999670016,-2524807.02724699,-4231262.45475854,3848521.2517139
434121999670016,-2524821.0691765,-4231259.15671518,3848512.23532828
434122999670016,-2524830.0667368,-4231250.49080807,3848505.07449853
434123999670016,-2524837.88935729,-4231238.24722447,3848494.47375405
434124999670016,-2524849.18535732,-4231230.94162751,3848484.3669413
434125999670016,-2524859.40799047,-4231221.18961533,3848475.52681828
434126999670016,-2524864.61194863,-4231210.69295256,3848461.26203783
434127999670016,-2524874.24647905,-4231200.28830499,3848451.53982585
