utc,X,Y,Z
433912000029952,-2522871.74379036,-4233193.3647588,3850685.94946916
433913000029952,-2522881.47918575,-4233186.0668871,3850679.26180561
433914000029952,-2522889.02397272,-4233173.38489667,3850666.94847273
433915000029952,-2522906.97508093,-4233165.98015645,3850665.19219407
433916000019968,-2522906.19056264,-4233151.06828823,3850642.64295723
433917000019968,-2522918.95086332,-4233141.74962598,3850627.28055981
433918000019968,-2522926.08712829,-4233131.68209484,3850615.04059845
433919000019968,-2522935.3447704,-4233121.95701605,3850603.62201067
433920000019968,-2522943.25794523,-4233111.75741979,3850593.363478
433921000019968,-2522952.62705775,-4233101.80835304,3850583.38122089
433922000019968,-2522963.57791183,-4233094.62482671,3850566.65214634
433923000019968,-2522971.3543288,-4233091.14886477,3850555.52152486
433924000019968,-2522975.48186286,-4233088.18197042,3850540.33686749
433925000019968,-2522979.29807066,-4233081.08578916,3850521.45212091
433926000019968,-2522981.7808466,-4233069.3661382,3850503.7053885
433927000019968,-2522994.26457072,-4233063.95840077,3850496.93572414
433928000019968,-2523010.08075427,-4233054.98709904,3850495.35080963
433929000019968,-2523020.04770961,-4233046.34386479,3850479.78811037
433930000019968,-2523032.3378524,-4233035.24625776,3850469.81110187
433931000019968,-2523044.04900357,-4233031.20989508,3850460.67421202
433932000019968,-2523051.37024423,-4233029.27830511,3850453.26976917
433933000019968,-2523052.40961657,-4233005.15779909,3850438.33652223
433934000019968,-2523064.99005282,-4233001.62062175,3850430.54406689
433935000019968,-2523075.15677119,-4232991.09138895,3850419.03915037
433936000019968,-2523086.47661623,-4232980.32659718,3850405.48220675
433937000019968,-2523097.18228709,-4232972.78841992,3850397.63048745
