utc,X,Y,Z
432892000359936,-2491175.73936832,-4143072.72336775,3755154.95368055
432893000359936,-2491176.41280679,-4143029.55330381,3755118.74884886
432894000359936,-2491176.62473296,-4142977.02747725,3755088.201188
432895000359936,-2491226.49044424,-4142979.0307291,3755150.60719803
432896000359936,-2491179.64849667,-4142899.45226937,3755034.59337242
432897000359936,-2491182.45623343,-4142862.82792931,3755007.66760088
432898000359936,-2491179.71296976,-4142820.28448859,3754976.76545917
432899000359936,-2491177.08300407,-4142773.27052945,3754940.6191235
432900000359936,-2491176.18209906,-4142729.41696147,3754909.74233807
432901000359936,-2491175.80451103,-4142690.13737216,3754881.93860294
432902000359936,-2491171.94780507,-4142641.49853732,3754843.72204819
432903000359936,-2491167.53972183,-4142592.63137756,3754799.244057
432904000359936,-2491166.60564794,-4142550.41578368,3754775.88230228
432905000349952,-2491174.26705211,-4142509.7993046,3754745.29087121
432906000349952,-2491176.43365818,-4142475.54784431,3754719.38921435
432907000349952,-2491163.18288544,-4142423.78003949,3754677.4520099
432908000349952,-2491163.88492657,-4142377.65984606,3754643.9681795
432909000349952,-2491160.87510295,-4142330.78940839,3754611.98749086
432910000349952,-2491163.73802324,-4142296.6495963,3754583.46222624
432911000349952,-2491160.22704105,-4142254.7458416,3754554.21627741
432912000349952,-2491155.87510449,-4142209.5476488,3754521.79641783
432913000349952,-2491154.50471686,-4142165.47032157,3754488.37326388
432914000349952,-2491155.65458446,-4142127.18972808,3754460.17928308
432915000349952,-2491155.07282546,-4142085.47943366,3754428.01008062
432916000349952,-2491150.12938091,-4142038.22121078,3754394.79500856
