utc,X,Y,Z
432423044000000,468561.388415798,58550.6157773427,-260509.092490552
432424526050048,467894.882940144,58998.0262769071,-261215.282794686
432425513659904,144722.515192586,1347057.90050664,-653043.30697426
432426113209856,-1687472.86778542,267190.292348513,140304.223147296
432427551040000,NaN,NaN,NaN
432428551040000,NaN,NaN,NaN
432429551040000,NaN,NaN,NaN
432430000039936,NaN,NaN,NaN
432431000039936,NaN,NaN,NaN
432432000039936,NaN,NaN,NaN
432433000039936,NaN,NaN,NaN
432434000039936,NaN,NaN,NaN
432435000039936,NaN,NaN,NaN
432436000039936,NaN,NaN,NaN
432437000039936,NaN,NaN,NaN
432438000039936,NaN,NaN,NaN
432439000039936,NaN,NaN,NaN
432440000039936,NaN,NaN,NaN
432441000039936,NaN,NaN,NaN
432442000039936,NaN,NaN,NaN
432443000039936,NaN,NaN,NaN
432444000039936,NaN,NaN,NaN
432445000039936,NaN,NaN,NaN
432446000039936,NaN,NaN,NaN
432447000039936,NaN,NaN,NaN
432448000039936,NaN,NaN,NaN
432449000039936,NaN,NaN,NaN
432450000039936,NaN,NaN,NaN
432451000039936,NaN,NaN,NaN
432452000039936,NaN,NaN,NaN
432453000039936,NaN,NaN,NaN
