utc,X,Y,Z
432800000379904,-2528308.79749983,-4171853.46972123,3779530.14561171
432801000379904,-2528319.39185938,-4171825.53608014,3779521.8956867
432802000379904,-2528326.75862719,-4171797.69568778,3779509.65887461
432803000379904,-2528334.19627738,-4171767.86828567,3779493.63555605
432804000379904,-2528345.66012622,-4171745.53866944,3779481.22509183
432805000379904,-2528356.37237415,-4171719.17673718,3779467.1634142
432806000379904,-2528365.58805845,-4171693.79797179,3779457.21048896
432807000379904,-2528373.78476852,-4171668.70788804,3779445.4100477
432808000379904,-2528381.75333896,-4171640.04643368,3779430.72154337
432809000379904,-2528390.12911981,-4171613.1305321,3779419.42896818
432810000379904,-2528403.8339668,-4171593.61903063,3779410.39150643
432811000379904,-2528405.11615853,-4171559.00860213,3779379.16780097
432812000379904,-2528411.27917208,-4171524.47964595,3779362.66416312
432813000379904,-2528425.71039742,-4171499.03730866,3779357.53561642
432814000379904,-2528432.00825443,-4171471.19366948,3779334.44334629
432815000379904,-2528442.40449831,-4171445.33885762,3779326.92682413
432816000379904,-2528454.92354743,-4171424.11658393,3779318.80794686
432817000379904,-2528469.15614757,-4171406.89157324,3779330.59203399
432818000379904,-2528471.76524925,-4171374.78441835,3779301.09982454
432819000379904,-2528474.85198708,-4171341.76484786,3779259.9784154
432820000379904,-2528485.07457873,-4171317.33398117,3779248.14290319
432821000379904,-2528493.26481234,-4171283.93766911,3779237.37651627
432822000379904,-2528501.11816713,-4171252.81135688,3779218.81315516
432823000379904,-2528508.99713466,-4171225.96977959,3779203.25515889
432824000379904,-2528519.00383831,-4171204.08086064,3779186.72613622
432825000379904,-2528522.97866245,-4171176.55726868,3779174.21397654
432826000379904,-2528534.58388609,-4171151.42205955,3779164.17535421
432827000379904,-2528544.7215012,-4171126.93755756,3779150.94211718
