utc,X,Y,Z
432551090200064,199024.972422116,262329.02909522,-274343.465663002
432552090200064,-2856439.91746661,-218258.670576857,407300.640273447
432553080969984,-871972.576938214,-1388376.09259389,470820.333464415
432554082299904,-280350.122430366,1201422.13666036,-569064.037412808
432555082299904,-175443.807540565,1137424.56375226,-388261.55377845
432556575599872,2358540.01358415,1681393.17995192,29085.5663782593
432557575599872,-2526216.12636115,-4178208.03680402,3783264.48221241
432558575599872,-2526222.99759986,-4178182.64558754,3783251.18897795
432558999599872,-2526229.18880267,-4178174.42401097,3783244.99132528
432559999599872,-2526246.73634082,-4178155.15046259,3783238.21473389
432560999599872,-2526253.36603138,-4178130.58521512,3783220.30112913
432561999599872,-2526261.37566004,-4178100.60040541,3783202.8979636
432562999599872,-2526271.58301347,-4178076.19962473,3783189.35001391
432563999599872,-2526280.93566013,-4178052.82921835,3783178.18928
432564999599872,-2526290.10003226,-4178023.63422457,3783159.62739243
432565999599872,-2526291.54520232,-4177992.44525872,3783140.68435907
432566999599872,-2526296.09047531,-4177961.97301639,3783123.08719767
432567999599872,-2526302.23582045,-4177931.85088506,3783092.40836204
432568999599872,-2526317.48209636,-4177908.64287364,3783079.18579115
432569999589888,-2526333.48769143,-4177881.38591225,3783059.60735001
432570999589888,-2526341.99943989,-4177855.27650353,3783042.75482893
432571999589888,-2526335.16603466,-4177827.28356824,3783026.52562396
432572999589888,-2526348.07441104,-4177804.65955228,3783003.84825011
432573999589888,-2526354.20987045,-4177777.16282027,3782979.5153072
432574999589888,-2526361.24172111,-4177753.81869602,3782965.95164812
432575999589888,-2526371.1614614,-4177725.86313203,3782946.37859573
432576999589888,-2526379.01371202,-4177705.90854961,3782925.71691957
432577999589888,-2526386.17941121,-4177678.78765589,3782911.34889466
432578999589888,-2526393.53182722,-4177651.02602585,3782895.32393797
432579999589888,-2526405.49980699,-4177626.05445187,3782884.39012893
432580999589888,-2526417.49218803,-4177601.32703768,3782870.98639216
432581999589888,-2526424.03892931,-4177576.41990766,3782850.93335738
432582999589888,-2526427.03591657,-4177546.950808,3782836.79480489
432583999589888,-2526447.59286704,-4177522.38352122,3782817.60036572
432584999589888,-2526459.06063033,-4177499.52076375,3782805.69177369
432585999589888,-2526459.27277,-4177470.83632562,3782790.23408617
