utc,X,Y,Z
432339999520000,-2524249.14072037,-4183657.2456382,3786951.84095321
432340999520000,-2524258.88223383,-4183626.81445178,3786935.47658021
432341999520000,-2524269.98974041,-4183603.75130597,3786925.24885357
432342999510016,-2524280.60684284,-4183579.76869132,3786908.64050445
432343999510016,-2524295.88828303,-4183561.10159535,3786899.03823497
432344999510016,-2524306.94333767,-4183537.49562457,3786880.75481971
432345999510016,-2524316.12751627,-4183512.47661326,3786866.55789613
432346999510016,-2524321.35469993,-4183483.48826661,3786850.56508783
432347999510016,-2524334.50799573,-4183465.0463777,3786834.18123781
432348999510016,-2524345.49965793,-4183440.74702576,3786817.14428632
432349999510016,-2524357.72479304,-4183415.8456674,3786804.11988527
432350999510016,-2524358.24758227,-4183386.26847719,3786783.09499645
432351999510016,-2524360.54443803,-4183350.89602094,3786744.78195799
432352999510016,-2524374.33013831,-4183325.38939033,3786733.13848311
432353999510016,-2524388.13763096,-4183305.82762734,3786717.29226002
432354999510016,-2524397.39114761,-4183279.02267871,3786698.7049843
432355999510016,-2524413.3782071,-4183261.36105835,3786688.89717516
432356999510016,-2524409.63044813,-4183231.69289612,3786653.11165629
432357999510016,-2524422.58286046,-4183207.34017137,3786641.79222269
432358999510016,-2524429.9769154,-4183183.63900009,3786623.09262132
432359999510016,-2524439.45623396,-4183155.44978393,3786606.48021981
432360999510016,-2524449.2274136,-4183152.79405505,3786593.76906275
432361999510016,-2524459.1706314,-4183115.80801503,3786574.5908713
