utc,X,Y,Z
434535999580160,-2546905.83859389,-4263525.91798673,3907397.68052578
434536999580160,-2546905.85455161,-4263511.32039235,3907383.19031228
434537999580160,-2546909.50904433,-4263502.220903,3907365.92067029
434538999580160,-2546908.21655326,-4263486.83120147,3907347.28662832
434539999580160,-2546910.1242796,-4263476.02939145,3907333.47544514
434540999580160,-2546918.38282402,-4263470.94481143,3907323.58339967
434541999580160,-2546920.91463872,-4263458.28076503,3907303.9667282
434542999580160,-2546929.72519213,-4263455.4475436,3907290.92735144
434543999580160,-2546937.09585961,-4263450.75418202,3907280.38790416
434544999580160,-2546941.8862073,-4263436.01085461,3907265.0928024
434545999580160,-2546946.53185451,-4263429.57652836,3907251.03780853
434546999580160,-2546948.40659145,-4263414.01616864,3907234.64024098
434547999580160,-2546929.3015597,-4263402.49304636,3907213.43967821
434548999580160,-2546927.59107628,-4263384.20150226,3907195.465447
434549999580160,-2546940.4958946,-4263377.35398892,3907181.60883026
434550999580160,-2546947.79986273,-4263367.78445131,3907169.90027662
434551999580160,-2546954.10304184,-4263353.23215152,3907156.72691923
434552999580160,-2546955.78392959,-4263334.61155148,3907135.74011761
434553999580160,-2546957.51405892,-4263327.00608472,3907122.94214132
434554999580160,-2546959.75706385,-4263315.92060285,3907108.48987518
434555999580160,-2546958.47778546,-4263302.68804237,3907092.13911753
434556999580160,-2546959.09490396,-4263293.31063596,3907076.94409132
434557999580160,-2546962.35616805,-4263279.19704403,3907062.19205798
434558999580160,-2546965.49170785,-4263273.58286028,3907049.31171674
434559999580160,-2546970.5536561,-4263263.07819508,3907038.06810635
434560999580160,-2546977.32618404,-4263261.56921239,3907035.10073985
