utc,X,Y,Z
435108999940096,-2547846.74613709,-4257521.70126496,3898760.59156816
435109999940096,-2547849.32940641,-4257513.71111102,3898745.40597205
435110999940096,-2547853.72588737,-4257506.88572642,3898729.19838001
435111999940096,-2547857.37256999,-4257497.36441144,3898712.80665669
435112999940096,-2547865.44822314,-4257490.47929436,3898703.5770504
435113999940096,-2547867.67244066,-4257482.96182577,3898688.34903463
435114999940096,-2547872.6967606,-4257473.77644617,3898672.91274037
435115999940096,-2547876.66163767,-4257463.53536754,3898658.3359388
435116999940096,-2547883.03719921,-4257454.179361,3898648.37843063
435117999940096,-2547885.3523547,-4257447.23901489,3898636.88999857
435118999940096,-2547889.55114937,-4257443.6572432,3898624.4358727
435119999930112,-2547891.45602656,-4257429.72171511,3898605.88843144
435120999930112,-2547867.57077149,-4257402.22609698,3898575.19495856
435121999930112,-2547868.48354369,-4257389.6269272,3898553.25565579
435122999930112,-2547877.76641721,-4257379.95812553,3898537.77203493
435123999930112,-2547885.43893714,-4257369.2062542,3898523.83196457
435124999930112,-2547888.50683262,-4257357.06570767,3898512.51453829
435125999930112,-2547889.65579774,-4257342.96116364,3898497.44098748
435126999930112,-2547893.68979125,-4257335.00974661,3898482.75642762
435127999930112,-2547896.66544612,-4257332.41310638,3898472.1656891
435128999930112,-2547894.76479911,-4257314.50344497,3898454.91081305
435129999930112,-2547897.23422512,-4257305.89645256,3898441.59057817
435130999930112,-2547901.51544159,-4257292.37851459,3898427.12449363
435131999930112,-2547898.38462997,-4257282.80179151,3898406.83192315
435132999930112,-2547908.03965883,-4257280.08597489,3898401.97511823
435133999930112,-2547912.11860323,-4257271.52619714,3898386.36457136
435134999930112,-2547917.3087746,-4257266.3350615,3898380.11908015
435135999930112,-2547919.32953114,-4257252.52920838,3898365.45007656
435136999930112,-2547910.55117935,-4257239.8615698,3898336.53220646
435137999930112,-2547917.04820685,-4257229.93844142,3898323.82549156
