utc,X,Y,Z
434706000329984,-2547210.77375655,-4261728.92866222,3904846.34434949
434707000329984,-2547213.77508849,-4261721.23150551,3904836.27242254
434708000329984,-2547218.4374002,-4261713.00262447,3904820.94936876
434709000329984,-2547224.78041362,-4261703.71784247,3904807.83326414
434710000329984,-2547236.65020207,-4261695.80809274,3904800.36524002
434711000329984,-2547230.13080168,-4261679.7875321,3904776.68042178
434712000329984,-2547231.86084899,-4261668.00939104,3904760.85098359
434713000329984,-2547229.90671734,-4261652.14645103,3904744.1290569
434714000329984,-2547234.26003261,-4261649.51506991,3904736.47851161
434715000329984,-2547235.91816144,-4261644.09036588,3904718.3178238
434716000329984,-2547235.92422591,-4261629.35959551,3904701.95545474
434717000329984,-2547240.09929109,-4261617.31665492,3904684.11509789
434718000329984,-2547242.15885709,-4261609.7826282,3904667.38041251
434719000329984,-2547236.12450748,-4261588.72265843,3904649.33298264
434720000329984,-2547247.34060616,-4261580.31703815,3904632.30664578
434721000329984,-2547253.97070168,-4261567.95652242,3904613.80471516
434722000329984,-2547255.13970048,-4261553.02648872,3904599.84332024
434723000329984,-2547253.59304666,-4261538.28147821,3904583.38963618
434724000329984,-2547256.42112642,-4261530.05914001,3904572.87614887
434725000329984,-2547256.35636308,-4261520.17792911,3904555.79633476
434726000329984,-2547259.67020605,-4261510.83530988,3904542.19484155
434727000329984,-2547263.4835125,-4261498.13929611,3904533.40264115
434728000329984,-2547267.37401618,-4261491.07821078,3904519.94644561
434729000329984,-2547268.25495083,-4261479.5168734,3904505.53237688
434730000329984,-2547273.61945417,-4261471.53477507,3904487.70185248
