utc,X,Y,Z
435002000250112,-2547669.92355854,-4258611.2904101,3900364.23201865
435003000250112,-2547669.49031106,-4258599.1742245,3900349.25360052
435004000250112,-2547675.39247513,-4258592.46363051,3900334.2530061
435005000250112,-2547676.65410198,-4258581.52187964,3900318.72189416
435006000250112,-2547676.40715581,-4258570.45951021,3900299.81747804
435007000250112,-2547674.21740767,-4258554.2037444,3900280.67029464
435008000239872,-2547675.04199639,-4258543.28708413,3900265.52824039
435009000239872,-2547679.33725908,-4258538.09357431,3900253.59978804
435010000239872,-2547684.80913722,-4258527.20303661,3900241.16452846
435011000239872,-2547686.11499465,-4258517.95252613,3900227.23520786
435012000239872,-2547684.00417488,-4258505.02842712,3900207.20714152
435013000239872,-2547689.92119924,-4258496.54326989,3900197.11408139
435014000239872,-2547690.055343,-4258490.14715437,3900181.51233058
435015000239872,-2547691.87376126,-4258479.95656282,3900167.03531678
435016000239872,-2547693.33908859,-4258469.35545856,3900150.5902489
435017000239872,-2547694.077639,-4258452.67099858,3900132.90005249
435018000239872,-2547697.03150736,-4258440.49746524,3900115.68817395
435019000239872,-2547706.92121345,-4258430.68483904,3900100.18086078
435020000239872,-2547708.65752797,-4258413.50390448,3900080.2399324
435021000239872,-2547709.62108465,-4258397.60489396,3900069.01410256
435022000239872,-2547712.24615229,-4258388.36452072,3900054.51835315
435023000239872,-2547713.90142744,-4258382.74902013,3900037.77155264
435024000239872,-2547716.87813542,-4258373.11334628,3900027.92597682
435025000239872,-2547714.54333317,-4258362.82241245,3900010.23934368
435026000239872,-2547709.37625738,-4258345.918126,3899987.61850441
435027000239872,-2547708.50474546,-4258338.34579024,3899976.76581997
435028000239872,-2547728.30614084,-4258335.31322745,3899972.59233329
435029000239872,-2547726.39207205,-4258324.35242759,3899951.0461269
435030000239872,-2547728.15618742,-4258310.04069584,3899937.64948485
435031000239872,-2547727.96247789,-4258301.53312201,3899919.3771323
