utc,X,Y,Z
434931000270080,-2547560.91515862,-4259353.9230875,3901438.81993202
434932000270080,-2547561.12121838,-4259339.90252259,3901422.35251953
434933000270080,-2547562.35943153,-4259327.99222956,3901407.70000867
434934000270080,-2547555.58537146,-4259314.42414998,3901391.58777492
434935000270080,-2547558.33286237,-4259303.63174248,3901375.82978192
434936000270080,-2547558.83734487,-4259286.2793592,3901358.99073781
434937000270080,-2547559.42058469,-4259273.91740848,3901342.77216848
434938000270080,-2547560.2763642,-4259263.86393074,3901325.99454436
434939000270080,-2547561.55068297,-4259253.19653596,3901308.72249136
434940000270080,-2547563.11932176,-4259242.0089403,3901296.03370048
434941000260096,-2547569.78262926,-4259237.63531217,3901284.15047195
434942000260096,-2547572.04333816,-4259230.61443583,3901269.95641393
434943000260096,-2547573.96837902,-4259224.64563186,3901256.38271523
434944000260096,-2547573.0941174,-4259208.14900587,3901236.73951815
434945000260096,-2547575.00420952,-4259198.17344042,3901224.55046648
434946000260096,-2547580.34500141,-4259189.26282565,3901210.08292328
434947000260096,-2547589.2408446,-4259180.43728562,3901193.6708657
434948000260096,-2547594.01333449,-4259169.84513954,3901174.22085117
434949000260096,-2547596.71766047,-4259166.04879564,3901154.33441056
434950000260096,-2547595.01663767,-4259155.01092177,3901136.08114806
434951000260096,-2547597.78404427,-4259145.25114213,3901117.02669397
434952000260096,-2547601.0642091,-4259135.25229133,3901099.15244723
434953000260096,-2547597.44801732,-4259119.39606445,3901079.76940069
434954000260096,-2547601.16541519,-4259109.94054787,3901067.66669655
434955000260096,-2547602.79339377,-4259097.5466626,3901055.28045786
434956000260096,-2547606.5770459,-4259090.9970388,3901043.21220264
434957000260096,-2547607.58945115,-4259083.69044498,3901029.40741519
434958000260096,-2547608.95976086,-4259073.26111276,3901015.64484862
434959000260096,-2547608.45810875,-4259058.17510267,3900996.61347151
434960000260096,-2547611.69995565,-4259053.99796035,3900982.44018221
434961000260096,-2547612.95877361,-4259042.53359604,3900967.87381769
434962000260096,-2547614.39212047,-4259030.72312351,3900951.35893448
434963000260096,-2547613.39683739,-4259011.85738516,3900935.16178284
