utc,X,Y,Z
434843999680000,-2547422.89580091,-4260271.70347802,3902750.01223149
434844999680000,-2547420.50052666,-4260243.75302479,3902732.42044059
434845999680000,-2547425.84904955,-4260240.89373985,3902725.79849988
434846999680000,-2547429.73723151,-4260229.67591992,3902706.06728426
434847999680000,-2547428.71182857,-4260218.32139467,3902697.47837106
434848999680000,-2547431.96870205,-4260212.5925238,3902680.28846658
434849999680000,-2547431.78867775,-4260202.04921008,3902666.95499891
434850999680000,-2547432.18301314,-4260188.86690733,3902651.25154232
434851999680000,-2547429.81488449,-4260179.76188194,3902635.3535561
434852999680000,-2547431.52882382,-4260166.70864316,3902621.81528337
434853999680000,-2547432.68016727,-4260155.30038959,3902608.1446257
434854999680000,-2547435.66777633,-4260150.10319104,3902600.53703195
434855999680000,-2547444.12404922,-4260145.44144605,3902591.18626779
434856999680000,-2547445.20651297,-4260136.10525476,3902570.94214237
434857999680000,-2547448.49431427,-4260125.62033459,3902557.85205976
434858999680000,-2547448.92355434,-4260113.93043202,3902544.6563122
434859999680000,-2547446.35111106,-4260093.48416462,3902527.26018184
434860999680000,-2547455.39842432,-4260086.4275697,3902512.6268214
434861999680000,-2547463.60209886,-4260067.43074211,3902461.43714975
434862999680000,-2547466.26081939,-4260063.25041591,3902447.00923308
434863999680000,-2547466.42233734,-4260057.05429967,3902427.97320731
434864999680000,-2547461.81014517,-4260043.69011491,3902410.33795966
434865999680000,-2547466.60694421,-4260032.85396222,3902404.08373841
434866999680000,-2547469.37600632,-4260019.38226507,3902389.50297739
434867999680000,-2547470.64860178,-4260012.58813729,3902371.70807216
434868999680000,-2547472.88807409,-4259997.55287511,3902361.27875611
434869999680000,-2547483.09739631,-4260018.26238738,3902383.65578895
434870999680000,-2547470.26405412,-4259974.08536803,3902320.08280763
434871999680000,-2547473.23705416,-4259966.42606665,3902306.59751576
434872999680000,-2547473.17079647,-4259951.2836504,3902287.32626424
434873999680000,-2547476.86075983,-4259943.26782062,3902276.17057598
