utc,X,Y,Z
433556000130048,-2519528.99113244,-4236583.93885529,3854807.3715799
433557000130048,-2519539.0145537,-4236570.80522358,3854795.76295254
433558000130048,-2519546.80775603,-4236562.24605597,3854783.60664855
433559000130048,-2519555.30469633,-4236546.55746935,3854771.44653966
433560000130048,-2519572.5449886,-4236542.13545279,3854770.62448076
433561000130048,-2519588.92959777,-4236539.70806099,3854765.4352574
433562000130048,-2519598.63129612,-4236529.91729999,3854753.58927729
433563000130048,-2519610.39090326,-4236515.52644444,3854740.01228161
433564000130048,-2519618.406531,-4236504.95080532,3854724.11577714
433565000130048,-2519629.52857258,-4236503.00493767,3854717.8877851
433566000130048,-2519640.65887074,-4236498.55577776,3854709.66899452
433567000130048,-2519648.16824097,-4236492.13275742,3854695.68654682
433568000130048,-2519660.06735371,-4236489.88409031,3854684.93273729
433569000130048,-2519647.20554115,-4236481.04601086,3854639.4949419
433570000130048,-2519661.8319423,-4236474.12777999,3854632.63048449
433571000130048,-2519677.9212617,-4236471.34041929,3854621.8712284
433572000130048,-2519692.38361783,-4236466.42095936,3854603.7556867
433573000130048,-2519699.52173737,-4236455.3123381,3854590.44415066
433574000120064,-2519713.63008638,-4236444.97337189,3854583.90474797
433575000120064,-2519718.83601375,-4236433.1597955,3854565.99247977
433576000120064,-2519725.02475258,-4236396.53998225,3854557.68349365
433577000120064,-2519734.37476238,-4236393.29090175,3854542.84698394
433578000120064,-2519751.82129376,-4236382.99325392,3854538.23593508
433579000120064,-2519768.04468344,-4236377.48891677,3854529.34883923
433580000120064,-2519771.07983405,-4236366.30653217,3854522.27264717
433581000120064,-2519783.75557671,-4236358.00041036,3854513.17794381
433582000120064,-2519794.83348962,-4236348.11871404,3854501.87028657
