utc,X,Y,Z
434152999670016,-2525122.99867252,-4230972.44202039,3848243.45651466
434153999670016,-2525134.23573744,-4230950.67711871,3848223.87236366
434154999670016,-2525146.93061182,-4230950.90839088,3848220.12953404
434155999670016,-2525154.01157929,-4230941.17249056,3848212.3663118
434156999670016,-2525165.95621955,-4230936.21748678,3848207.3349436
434157999670016,-2525177.15884807,-4230914.01041611,3848193.58219476
434158999670016,-2525189.47638647,-4230915.3269504,3848191.27637495
434159999670016,-2525194.4840318,-4230897.27833,3848177.51600798
434160999670016,-2525208.54012226,-4230891.04456047,3848172.95581738
434161999670016,-2525218.65853413,-4230881.85824695,3848165.34318726
434162999670016,-2525227.13402144,-4230872.20154267,3848156.7313632
434163999670016,-2525239.12810337,-4230873.80714758,3848150.83211456
434164999670016,-2525242.27774228,-4230865.86673634,3848128.22906183
434165999670016,-2525246.26392307,-4230857.48369668,3848109.60369794
434166999670016,-2525256.6101015,-4230857.6586887,3848108.81244487
434167999670016,-2525265.45716671,-4230841.71914119,3848095.18004251
434168999670016,-2525273.20969965,-4230824.61941739,3848086.15814497
434169999670016,-2525284.92134168,-4230819.03249255,3848084.85954692
434170999670016,-2525297.13074595,-4230811.13651682,3848061.14167139
434171999670016,-2525309.0004842,-4230806.67030851,3848059.11767792
434172999670016,-2525324.15084294,-4230795.45663411,3848050.7801795
434173999670016,-2525328.6305913,-4230779.06883518,3848036.27611091
434174999670016,-2525332.04996139,-4230773.19116716,3848018.64096429
434175999670016,-2525348.14454375,-4230766.70575897,3848018.40563758
434176999670016,-2525354.76922982,-4230756.46330914,3848007.88270713
434177999670016,-2525368.45101062,-4230748.90596439,3848003.67569637
434178999670016,-2525377.31236183,-4230742.29966354,3847995.26168279
