utc,X,Y,Z
431821000160256,-2518981.16569268,-4195267.6471878,3796403.29043907
431822000160256,-2518989.3902022,-4195242.57275994,3796382.43662419
431823000160256,-2519002.78495341,-4195220.49046109,3796364.62549669
431824000160256,-2519013.96787795,-4195197.26748504,3796344.43688817
431825000160256,-2519025.91303701,-4195181.53950502,3796328.08594782
431826000160256,-2519038.28920909,-4195162.27544292,3796311.93242629
431827000160256,-2519049.06770048,-4195141.04024861,3796294.45922324
431828000160256,-2519061.34449473,-4195122.75395404,3796274.06403201
431829000160256,-2519073.60280387,-4195102.74388606,3796259.61794128
431830000160256,-2519086.17137256,-4195084.34557392,3796240.50782964
431831000160256,-2519096.38894148,-4195059.84878968,3796222.37206806
431832000160256,-2519105.11480774,-4195045.84623776,3796213.76394011
431833000160256,-2519120.97191674,-4195028.4372165,3796192.8978642
431834000160256,-2519130.01650535,-4195003.32986005,3796175.51260369
431835000160256,-2519142.87071955,-4194984.20424838,3796159.08841593
431836000160256,-2519155.67697768,-4194962.52120979,3796140.4819549
431837000160256,-2519164.07401347,-4194942.65619111,3796125.68998647
431838000160256,-2519179.33481008,-4194923.9161605,3796110.21336573
431839000160256,-2519189.78757778,-4194902.81862077,3796089.02341521
431840000160256,-2519199.49552307,-4194880.99982913,3796065.31732735
431841000150016,-2519208.83932119,-4194859.64641222,3796047.29881727
431842000150016,-2519219.6772529,-4194837.4952126,3796029.58500307
431843000150016,-2519236.3309323,-4194816.20553273,3796013.03549404
431844000150016,-2519248.59248728,-4194794.02351626,3795998.19226094
431845000150016,-2519260.69972251,-4194777.03402167,3795979.89764481
431846000150016,-2519275.66560579,-4194761.00716136,3795963.34642964
431847000150016,-2519289.95342129,-4194741.15203301,3795948.18744815
431848000150016,-2519298.48020217,-4194716.74120312,3795931.66570278
431849000150016,-2519309.76968607,-4194697.18299859,3795917.12915139
431850000150016,-2519321.24901573,-4194677.53035162,3795903.61697182
431851000150016,-2519335.49816272,-4194657.57277345,3795883.48594678
431852000150016,-2519350.96065401,-4194641.74288212,3795868.3151151
431853000150016,-2519355.49105473,-4194620.33418954,3795849.14547676
431854000150016,-2519363.48852871,-4194604.72123383,3795834.74254279
431855000150016,-2519374.5101742,-4194577.98076761,3795808.31442716
431856000150016,-2519384.63043571,-4194557.04473518,3795789.46968225
431857000150016,-2519395.61033585,-4194536.75278803,3795768.87016421
431858000150016,-2519409.17874811,-4194514.7965976,3795747.67571229
431859000150016,-2519416.74245504,-4194490.46196074,3795722.60058226
431860000150016,-2519424.45575904,-4194466.01624359,3795698.20973136
431861000150016,-2519432.87356651,-4194443.2467054,3795675.24653594
431862000150016,-2519445.71174163,-4194425.56865176,3795660.35674468
431863000150016,-2519453.10103706,-4194406.00520675,3795639.01086926
