utc,X,Y,Z
433630999750144,-2520252.35098576,-4235885.89131413,3853917.68091403
433631999750144,-2520263.29820255,-4235870.19880426,3853904.21121268
433632999750144,-2520268.0834109,-4235857.05513041,3853887.34158659
433633999750144,-2520276.43328338,-4235842.7643922,3853871.471109
433634999750144,-2520279.04255651,-4235829.99677616,3853851.9976426
433635999750144,-2520295.84252878,-4235819.61195289,3853840.84905015
433636999750144,-2520300.84364785,-4235806.82227105,3853827.21525219
433637999750144,-2520310.17278279,-4235797.56645129,3853812.47605287
433638999750144,-2520316.70371225,-4235784.65122824,3853798.98360099
433639999750144,-2520332.03294897,-4235780.40678428,3853795.70552255
433640999750144,-2520338.20779619,-4235768.16868232,3853781.83592476
433641999750144,-2520353.46172428,-4235763.59618216,3853772.30817891
433642999750144,-2520364.47682276,-4235749.87468788,3853755.55909862
433643999750144,-2520375.21410031,-4235743.1882565,3853745.83539834
433644999750144,-2520385.41588051,-4235736.52131228,3853737.55621024
433645999750144,-2520394.50324774,-4235727.27884792,3853728.56393996
433646999750144,-2520401.99566473,-4235716.48575731,3853718.12011532
433647999750144,-2520412.36513444,-4235706.84543288,3853704.95904811
433648999750144,-2520421.21917311,-4235697.38689058,3853689.5725034
433649999750144,-2520434.86428886,-4235690.60745627,3853682.38335466
433650999750144,-2520444.31698438,-4235689.4203586,3853669.54977181
433651999750144,-2520448.76173981,-4235682.46654944,3853651.4696031
433652999750144,-2520450.30302952,-4235673.7966864,3853627.52280377
433653999750144,-2520454.73817113,-4235666.51745693,3853609.07239778
433654999750144,-2520460.15995115,-4235661.2484025,3853595.56610121
433655999750144,-2520476.1245546,-4235653.61236991,3853588.29747399
433656999750144,-2520486.32191422,-4235642.88507044,3853577.44266486
433657999750144,-2520498.5210466,-4235631.62788687,3853563.19921096
433658999750144,-2520503.757077,-4235623.77637301,3853550.65045352
433659999750144,-2520512.42367789,-4235611.83422753,3853536.1870662
433660999750144,-2520524.5521213,-4235601.80882578,3853526.35553126
433661999750144,-2520532.00462698,-4235593.81609619,3853515.8194663
433662999750144,-2520541.1446255,-4235583.70158475,3853501.13651449
433663999750144,-2520553.55375092,-4235574.85358044,3853493.29788836
433664999750144,-2520565.83857418,-4235567.91694018,3853486.83807695
433665999750144,-2520573.7508467,-4235557.06188278,3853470.28054805
