utc,X,Y,Z
433407000169984,-2490522.93072421,-4120196.42277819,3740285.06865971
433408000169984,-2490529.50974667,-4120160.25157062,3740268.59504421
433409000169984,-2490532.42576928,-4120116.09351175,3740246.61517748
433410000169984,-2490533.96615192,-4120075.3968451,3740228.09743674
433411000169984,-2490560.11125209,-4120054.20493527,3740257.85716933
433412000169984,-2490550.38274655,-4120000.11047425,3740210.44743036
433413000169984,-2490554.74745348,-4119959.18831213,3740193.5602996
433414000169984,-2490561.96308702,-4119915.80836446,3740178.62695312
433415000169984,-2490562.18508575,-4119871.18269867,3740152.78190342
433416000169984,-2490563.33156599,-4119827.46112394,3740133.36353441
433417000169984,-2490555.4374739,-4119776.51373816,3740098.20766824
433418000169984,-2490549.24931097,-4119724.95941591,3740069.58268827
433419000169984,-2490563.47355525,-4119693.03336077,3740058.00245877
433420000169984,-2490565.93024654,-4119654.94109843,3740043.07143404
433421000169984,-2490557.71132338,-4119600.84923636,3740000.21538719
433422000169984,-2490550.49830144,-4119547.862344,3739965.96274194
433423000169984,-2490554.9987229,-4119509.69484819,3739953.96823784
433424000169984,-2490553.53842119,-4119459.58271027,3739923.63281811
433425000169984,-2490553.35669095,-4119416.42102087,3739900.02475612
433426000169984,-2490554.0140552,-4119372.1823538,3739876.22823934
433427000169984,-2490547.53204046,-4119332.73716272,3739847.67907052
433428000169984,-2490551.70253331,-4119295.47258571,3739826.4166666
433429000169984,-2490558.50936867,-4119261.09411126,3739809.16598856
433430000169984,-2490555.45901272,-4119221.88311248,3739787.96344744
433431000169984,-2490552.01850216,-4119174.98968456,3739754.63788162
433432000169984,-2490511.17031496,-4119097.23090435,3739653.76064172
433433000169984,-2490518.83966645,-4119063.05977448,3739640.47060737
433434000169984,-2490517.43754935,-4119025.31834284,3739616.97641022
433435000169984,-2490515.35054284,-4118979.21593113,3739593.73193879
433436000169984,-2490517.97174949,-4118935.12843668,3739571.38811151
433437000169984,-2490516.73738748,-4118876.05667744,3739541.3615488
433438000160000,-2490520.85036099,-4118832.58547272,3739515.92348669
433439000160000,-2490517.22820076,-4118786.35970552,3739493.92016438
433440000160000,-2490510.0323525,-4118735.34858138,3739465.43673187
433441000160000,-2490507.46724503,-4118690.68795767,3739436.91461655
433442000160000,-2490510.1139915,-4118644.10094285,3739409.88827984
