utc,X,Y,Z
432849000369920,-2528731.9325314,-4170541.68334696,3778848.89591986
432850000369920,-2528737.35657329,-4170515.32690106,3778830.9658773
432851000369920,-2528742.37672512,-4170486.04956227,3778815.43082864
432852000369920,-2528750.61210197,-4170461.38199154,3778802.07576834
432853000369920,-2491216.03462215,-4144718.21750961,3756386.35568553
432854000369920,-2491214.57857804,-4144674.80639688,3756350.46258839
432855000369920,-2491217.93240081,-4144641.35002317,3756323.74050195
432856000369920,-2491220.77557615,-4144601.69465697,3756295.29761132
432857000369920,-2491219.98073326,-4144559.17475266,3756263.79961356
432858000369920,-2491221.17270396,-4144517.59334595,3756232.05086318
432859000369920,-2491217.76898764,-4144472.14987644,3756197.13584088
432860000369920,-2491215.01343739,-4144431.75362366,3756166.78194381
432861000369920,-2491213.29551701,-4144385.57820683,3756133.20028002
432862000369920,-2491213.19192119,-4144345.09096816,3756104.92379306
432863000369920,-2491214.21365099,-4144305.89107049,3756077.34724094
432864000369920,-2491216.03380902,-4144249.29915507,3756039.23566637
432865000369920,-2491219.15962651,-4144203.54730906,3756009.76811942
432866000369920,-2491214.85361061,-4144162.50521658,3755973.95858436
432867000369920,-2491209.6052388,-4144115.16070193,3755938.49649104
432868000369920,-2491207.99548264,-4144078.29926445,3755907.44794017
432869000369920,-2491206.09956148,-4144032.71506005,3755868.11688686
432870000359936,-2491207.80995753,-4143994.17218594,3755849.97249428
432871000359936,-2491206.58079062,-4143952.24962557,3755817.35314282
432872000359936,-2491205.25926535,-4143912.3981351,3755784.38140863
432873000359936,-2491202.90803841,-4143869.25272394,3755753.57289555
432874000359936,-2491205.56083662,-4143827.19860891,3755724.50401779
432875000359936,-2491204.06907324,-4143787.01786709,3755693.27415826
432876000359936,-2491201.97845651,-4143749.58666664,3755664.4563339
432877000359936,-2491199.29241668,-4143705.30552702,3755624.76976711
