utc,X,Y,Z
432893008569856,-408840.06199766,-449365.787517076,-133318.087535781
432893963849984,-408738.473555021,-448482.430097352,-134250.018765923
432894973120000,-574891.30264178,1717752.94698376,-1224470.63803863
432895971719936,16211.9044381327,1330653.26599717,-656457.546421354
432896991820032,16507.3363313231,1331651.81875455,-657511.045687919
432897987980032,3560761.89594183,6901841.2695827,-5786708.68160394
432898989539840,2670722.89706639,6016966.87183752,-5513763.1321146
432900454690048,3032464.19084614,5771816.20396622,-5151881.78656925
432901454690048,-2491162.11016789,-4142666.61504131,3754847.67244745
432902454690048,-2491163.1526672,-4142629.41316073,3754823.14326395
432902999690240,-2491162.19716712,-4142609.707036,3754809.89542168
432903999680000,-2491165.7815789,-4142570.984387,3754784.51509651
432904999680000,-2491174.52806869,-4142516.25832409,3754754.89604735
432905999680000,-2491158.70008765,-4142455.33933819,3754708.37159462
432906999680000,-2491161.84755968,-4142422.17983885,3754680.53373285
432907999680000,-2491165.5674202,-4142385.42739918,3754652.86866567
432908999680000,-2491161.42374221,-4142335.26365503,3754616.50915205
432909999680000,-2491168.43225996,-4142281.61488975,3754572.13106764
432910999680000,-2491168.19064759,-4142246.64665818,3754549.11401774
432911999680000,-2491150.51292794,-4142212.67145522,3754519.70667913
432912999680000,-2491155.01614317,-4142168.88984785,3754485.00855353
432913999680000,-2491156.73596758,-4142121.40607877,3754455.17042787
432914999680000,-2491152.12840534,-4142086.32890246,3754427.10665555
