utc,X,Y,Z
435108999629824,-2547842.96647777,-4257519.54975189,3898754.85589362
435109999629824,-2547840.86827152,-4257508.83001673,3898737.12325544
435110999629824,-2547844.26974482,-4257502.10230722,3898723.02420648
435111999629824,-2547842.08268208,-4257491.48558636,3898706.94435122
435112999629824,-2547844.15111062,-4257480.6354569,3898694.55425964
435113999629824,-2547848.84393779,-4257473.7429577,3898679.36698678
435114999629824,-2547848.25009872,-4257459.2657821,3898665.84263287
435115999629824,-2547848.91859056,-4257446.22992456,3898654.01161973
435116999629824,-2547857.01620817,-4257451.14319909,3898650.34612029
435117999629824,-2547856.71214761,-4257435.95476449,3898628.98280862
435118999629824,-2547856.00331171,-4257424.20847991,3898610.81464938
435119999629824,-2547859.57286747,-4257418.26313162,3898601.82284384
435120999629824,-2547864.49569204,-4257408.54470085,3898592.80818929
435121999629824,-2547872.88588899,-4257402.53609842,3898579.59332204
435122999629824,-2547875.04509658,-4257374.68727186,3898544.00961572
435123999629824,-2547883.42341927,-4257367.24155168,3898538.33607799
435124999629824,-2547886.68340978,-4257356.3293113,3898519.43946657
435125999629824,-2547894.50217778,-4257340.59321482,3898508.1846954
435126999629824,-2547890.01951105,-4257333.94622042,3898487.68213175
435127999629824,-2547891.92237317,-4257323.77848721,3898469.39395087
435128999629824,-2547893.30513097,-4257314.19772932,3898454.3453922
435129999629824,-2547893.5141101,-4257300.83727937,3898437.89392831
435130999629824,-2547898.45066993,-4257292.54765884,3898426.23200806
435131999629824,-2547899.58036442,-4257281.61171011,3898405.61152747
435132999629824,-2547901.54971645,-4257293.556139,3898398.73622185
435133999629824,-2547900.99156546,-4257264.8156209,3898377.75133434
435134999629824,-2547904.14126855,-4257254.9960256,3898365.1687701
435135999629824,-2547908.78341215,-4257246.43007652,3898349.04338701
435136999629824,-2547906.24195231,-4257236.19272842,3898331.16181124
435137999629824,-2547912.27327358,-4257231.93142249,3898319.84104566
