utc,X,Y,Z
435166999920128,-2547952.87932439,-4256952.5759142,3897896.05979557
435167999920128,-2547954.56773188,-4256947.3818891,3897884.63798892
435168999920128,-2547948.2892855,-4256932.70106088,3897869.31020928
435169999920128,-2547948.27216371,-4256926.46893093,3897856.02691183
435170999920128,-2547964.58661168,-4256930.12840734,3897841.13287818
435171999920128,-2547955.72142046,-4256913.7246274,3897833.23817297
435172999920128,-2547957.60519829,-4256905.7492102,3897816.91846259
435173999920128,-2547958.99684422,-4256898.11120505,3897803.21298908
435174999920128,-2547962.21817657,-4256889.65356533,3897793.47778694
435175999920128,-2547961.79876435,-4256882.57806526,3897780.32523512
435176999920128,-2547963.39512926,-4256875.48023316,3897768.1215053
435177999920128,-2547968.50709741,-4256866.7632882,3897757.88132562
435178999920128,-2547969.41705803,-4256856.59783651,3897741.45771518
435179999920128,-2547970.25066089,-4256845.82976832,3897732.51606987
435180999920128,-2547970.47666912,-4256834.39416787,3897708.29244114
435181999920128,-2547975.07991824,-4256822.03161637,3897691.99333466
435182999920128,-2547983.45942751,-4256812.62173952,3897672.72765876
435183999920128,-2547995.86012279,-4256804.18625446,3897647.88597212
435184999920128,-2548003.9013159,-4256771.36256068,3897622.94133453
435185999920128,-2548006.46619286,-4256768.28895594,3897616.72708086
435186999920128,-2548009.37324656,-4256754.04317474,3897601.117655
435187999920128,-2548007.69732002,-4256742.10243548,3897582.9325651
435188999909888,-2548004.67882644,-4256728.16159255,3897562.50679034
435189999909888,-2548006.63307431,-4256720.27096771,3897548.43079397
435190999909888,-2548007.89279285,-4256712.36866549,3897531.95401028
435191999909888,-2548012.06122398,-4256704.13967962,3897526.00638913
435192999909888,-2548017.65131795,-4256698.04469479,3897513.37083806
435193999909888,-2548020.96946978,-4256687.99201386,3897500.48714022
435194999909888,-2548021.68286059,-4256681.3795157,3897484.47154708
435195999909888,-2548026.69491438,-4256673.46029898,3897469.31764963
435196999909888,-2548022.46907929,-4256658.25331094,3897447.62159523
435197999909888,-2548026.58596207,-4256645.98281555,3897439.85637658
435198999909888,-2548027.00362178,-4256635.5903442,3897422.22261065
435199999909888,-2548030.13504962,-4256636.11246976,3897402.30939127
435200999909888,-2548034.17414434,-4256623.46402392,3897403.77971164
435201999909888,-2548035.02596509,-4256609.93277467,3897383.69723826
