utc,X,Y,Z
434705999549952,-2547196.07042758,-4261737.98138008,3904830.55999546
434706999549952,-2547206.41149216,-4261716.97428951,3904830.81963378
434707999549952,-2547210.00070723,-4261705.43107322,3904815.17835754
434708999539968,-2547212.47944544,-4261696.64662923,3904799.6701586
434709999539968,-2547214.1240028,-4261682.75745844,3904784.0610673
434710999539968,-2547212.88697774,-4261668.86498589,3904765.61536906
434711999539968,-2547216.0897889,-4261661.16920565,3904752.90112631
434712999539968,-2547212.34093025,-4261651.90901814,3904741.35038931
434713999539968,-2547215.03396577,-4261648.07043471,3904729.70833329
434714999539968,-2547220.52402249,-4261640.34284669,3904725.28544202
434715999539968,-2547219.64086789,-4261627.11166427,3904709.77853699
434716999539968,-2547222.53776215,-4261616.63926139,3904698.35680138
434717999539968,-2547223.39598733,-4261603.07833921,3904680.75947675
434718999539968,-2547233.96349533,-4261595.3825989,3904667.44389716
434719999539968,-2547235.66059813,-4261580.24094927,3904644.62157709
434720999539968,-2547251.29380351,-4261566.25412848,3904609.09973167
434721999539968,-2547253.85138756,-4261552.30630183,3904597.97810198
434722999539968,-2547254.45126607,-4261538.39848878,3904586.60939756
434723999539968,-2547252.58970976,-4261527.74960718,3904572.81214441
434724999539968,-2547255.05857794,-4261518.15486315,3904554.94006683
434725999539968,-2547255.9744008,-4261505.61563305,3904538.05220926
434726999539968,-2547254.91259265,-4261491.18751784,3904520.12955439
434727999539968,-2547262.06553615,-4261483.80317311,3904511.36774334
434728999539968,-2547266.79150257,-4261480.89665637,3904497.23101175
434729999539968,-2547258.39694984,-4261454.88716909,3904461.87792028
