utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,6,0.0,16431,433555929197528,35,30.497217178344727,413.2249051458143,0.740767947121534,16,116867.44226220313,340282346638528860000000000000000000000,1575420030,,,,0,,1,,26.897216796875,0.320142130558394,1.0,0.320142130558394,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,11,0.0,16431,433555931315368,12,43.61362838745117,-140.8164065854478,0.15,16,-46602.00236159096,340282346638528860000000000000000000000,1575420030,,,,0,,1,,40.01362991333008,-0.20372681261465636,1.0,-0.20372681261465636,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,12,0.0,16431,433555930130370,15,40.54145812988281,-289.21264925419905,0.15,16,-87992.17815056334,340282346638528860000000000000000000000,1575420030,,,,0,,1,,36.94145965576172,-0.6984919076624261,1.0,-0.6984919076624261,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,19,0.0,16430,433555925112667,1000000000,32.66831970214844,539.5960078533733,299792458,16,157114.84782428876,340282346638528860000000000000000000000,1575420030,,,,0,,1,,29.068321228027344,0.0,1.0,0.0,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,20,0.0,16431,433555920840185,27,33.72334671020508,-519.1058735690553,0.5977866500572149,16,-152942.3247812836,340282346638528860000000000000000000000,1575420030,,,,1,,1,,30.123348236083984,0.0,1.0,0.0,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,24,0.0,16431,433555926794730,13,44.85833740234375,482.4873073739261,0.15,16,137744.6683109675,340282346638528860000000000000000000000,1575420030,,,,0,,1,,41.258338928222656,-0.20372681261465636,1.0,-0.20372681261465636,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,25,0.0,16431,433555924412789,14,41.68937683105469,-519.0456839508361,0.15,16,-153953.26964919042,340282346638528860000000000000000000000,1575420030,,,,0,,1,,38.089378356933594,-2.0372682255564105,1.0,-2.0372682255564105,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,29,0.0,16385,433555916497058,76,37.13296890258789,-469.38519310760125,0.15,16,-1876.5214065253858,340282346638528860000000000000000000000,1575420030,,,,0,,1,,33.5329704284668,-0.6984919076624261,1.0,-0.6984919076624261,1.0,C,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,6,0.0,81921,433555929198084,8,35.43437576293945,413.1010154163539,0.5187494999481155,16,118047.18819757763,340282346638528860000000000000000000000,1176450050,,,,0,,1,,31.83437728881836,1.9208527336454408,1.5559117937205702,1.9208527336454408,1.0,Q,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,11,0.0,81921,433555931315880,9,38.11200714111328,-140.76419226205485,0.15,16,-47155.46461165738,340282346638528860000000000000000000000,1176450050,,,,0,,1,,34.51200866699219,0.0,1.5559117937205702,0.0,1.0,Q,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,24,0.0,81921,433555926795246,36,33.6364631652832,482.1405183788065,0.5991673889501761,16,137727.16510705484,340282346638528860000000000000000000000,1176450050,,,,0,,1,,30.03646469116211,3.5215636101095664,1.5559117937205702,3.5215636101095664,1.0,Q,30594813381000
1676593537999,294043000000,,,-1360628461956766161,0.0,8.184682304707183,171.0,1.0,56,25,0.0,81921,433555924413288,22,31.523208618164062,-518.5730625262343,0.6937697040571322,16,-155520.76260111484,340282346638528860000000000000000000000,1176450050,,,,0,,1,,27.923208236694336,1.0186341127782053,1.5559117937205702,1.0186341127782053,1.0,Q,30594813381000
