utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,2,0.0,17,496601,12,46.454307556152344,-541.2687748195128,0.15,16,-1567.6916807309826,340282346638528860000000000000000000000,1575420030,,,,0,,1,,42.25430679321289,0.0,1.0,0.0,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,6,0.0,17,227482,38,30.151535034179688,581.3400301902288,0.7845587115041095,16,1686.2637234777856,340282346638528860000000000000000000000,1575420030,,,,0,,1,,25.951534271240234,0.320142130558394,1.0,0.320142130558394,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,11,0.0,17,11986,25,35.05288314819336,77.69539036309425,0.5648313775896794,16,202.31452031167936,340282346638528860000000000000000000000,1575420030,,,,0,,1,,30.852882385253906,-0.20372681261465636,1.0,-0.20372681261465636,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,12,0.0,17,762160,19,38.24590301513672,-141.96795906459812,0.15,16,-396.61192875479185,340282346638528860000000000000000000000,1575420030,,,,0,,1,,34.045902252197266,-0.6984919076624261,1.0,-0.6984919076624261,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,19,0.0,17,786815,24,35.607025146484375,602.5173008805032,0.5384326511284216,16,1681.5579173151818,340282346638528860000000000000000000000,1575420030,,,,1,,1,,31.407026290893555,0.0,1.0,0.0,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,20,0.0,17,771287,14,41.85690689086914,-429.27528823118837,0.15,16,-1243.0227258669408,340282346638528860000000000000000000000,1575420030,,,,0,,1,,37.65690612792969,0.0,1.0,0.0,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,25,0.0,17,322554,16,40.48658752441406,-421.6711172739276,0.15,16,-1231.336894286065,340282346638528860000000000000000000000,1575420030,,,,0,,1,,36.28658676147461,-2.0372682255564105,1.0,-2.0372682255564105,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,29,0.0,17,207905,18,39.35628128051758,-397.4100659174694,0.15,16,-1095.9788908069766,340282346638528860000000000000000000000,1575420030,,,,0,,1,,35.156280517578125,-0.6984919076624261,1.0,-0.6984919076624261,1.0,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,6,0.0,16,16227487,1000000000,18.80793571472168,579.0996539931584,299792458,16,3483.584216932946,340282346638528860000000000000000000000,1176450050,,,,0,,1,,14.707935333251953,1.9208527336454408,7.671281903963041,1.9208527336454408,1.0,Q,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,11,0.0,16,20011985,1000000000,11.23237419128418,76.79560499027792,299792458,16,460.61679299871935,340282346638528860000000000000000000000,1176450050,,,,0,,1,,7.132373809814453,0.0,7.671281903963041,0.0,1.0,Q,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,25,0.0,16,16322551,1000000000,17.703561782836914,-418.51620652098063,299792458,16,-2531.494844541432,340282346638528860000000000000000000000,1176450050,,,,0,,1,,13.603561401367188,1.0186341127782053,7.671281903963041,1.0186341127782053,1.0,Q,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,14,0.0,17,535537,42,37.53688430786133,704.8766654010683,0.15,17,2660.085990839594,0.09561737245221677,1598062460,,,,0,,3,,33.336883544921875,50.29141902923584,2.0000000474974513,50.29141902923584,2.0000000474974513,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,18,0.0,49,8954992,33,41.48055648803711,-364.12108306496657,0.15,17,-1262.9174904750978,0.09489013927411773,1600312450,,,,0,,3,,37.280555725097656,50.29141902923584,2.0000000474974513,50.29141902923584,2.0000000474974513,C,122544641736276
1676595039968,3105000000,,,-1360630254863999071,0.0,200621973.29957247,,,23,16,0.0,17,22456,42,37.49304962158203,-627.4156941739379,0.15,16,-1160.4464596364521,340282346638528860000000000000000000000,1601437440,,,,0,,3,,33.29304885864258,50.29141902923584,2.0000000474974513,50.29141902923584,2.0000000474974513,C,122544641736276
