PRN,Toc,af0,af1,af2,IODE,Crs,Delta_n,M0,Cuc,e,Cus,Asqrt,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_DOT,IDOT,codeL2,GPS_Week,L2Pdata,accuracy,health,TGD,IODC,ttx,Fit_interval
1,345618,0.000212109647691,-4.2064129957e-12,0,69,-15.03125,4.14481550535e-09,1.4770272907,-9.27597284317e-07,0.012360037188,2.09920108318e-06,5153.65041542,345600,-2.25380063057e-07,-2.13787149847,3.35276126862e-08,0.989376248566,357.59375,0.938042359538,-8.20427031222e-09,-8.39320675361e-11,1,2249,0,2,0,4.65661287308e-09,69,343818,4
2,345618,-0.000620573759079,2.6147972676e-12,0,46,-23.9375,4.74305471012e-09,0.483063095505,-1.38394534588e-06,0.0200152760372,2.08616256714e-06,5153.68538856,345600,-2.23517417908e-07,-2.2346716862,-1.65775418282e-07,0.967095343517,348.875,-1.32688568072,-8.8035809902e-09,-9.78612191697e-11,1,2249,0,2,0,-1.76951289177e-08,46,338418,4
4,345618,-2.66446731985e-05,8.18545231596e-12,0,41,-21.4375,4.39768318116e-09,-3.02497160532,-1.07847154141e-06,0.00231975258794,9.46037471294e-06,5153.71017456,345600,-1.86264514923e-09,-0.0249227624759,-5.21540641785e-08,0.962790636849,199.09375,-3.0417847692,-7.76139472182e-09,4.72519682341e-10,1,2249,0,2,0,-4.65661287308e-09,553,338418,4
5,345618,-0.000116056762636,-1.47792889038e-12,0,65,-118.96875,4.18267422517e-09,-2.22571493661,-6.18025660515e-06,0.00576591014396,7.82124698162e-06,5153.61787605,345600,4.65661287308e-08,-1.15126351662,-7.264316082e-08,0.964404396411,229.21875,1.13159491659,-7.81353975101e-09,-1.03575742917e-11,1,2249,0,2,0,-1.11758708954e-08,65,343158,4
6,345618,0.000572832301259,4.32009983342e-12,0,80,-23.375,4.00838125088e-09,1.71659951277,-1.14366412163e-06,0.00290379661601,1.74716114998e-06,5153.61392593,345600,3.35276126862e-08,-2.14617759915,-5.77419996262e-08,0.988631313125,355.15625,-0.835063958623,-8.06212153401e-09,-1.21433629627e-10,1,2249,0,2,0,3.72529029846e-09,80,338467,4
7,345618,0.000240280292928,-7.04858393874e-12,0,80,7.34375,5.15700052406e-09,0.884609482964,5.01051545143e-07,0.0167371463031,6.83218240738e-06,5153.58249474,345600,-2.03028321266e-07,0.990621392272,1.08033418655e-07,0.950313393922,245.71875,-2.22469076668,-8.45428072616e-09,-2.08937274505e-10,1,2249,0,2,0,-1.11758708954e-08,80,338418,4
9,345618,-0.000217485707253,7.04858393874e-12,0,35,-26.15625,4.55626121514e-09,-2.24859302091,-1.38022005558e-06,0.00249324098695,9.58517193794e-06,5153.6723156,345600,7.45058059692e-09,-0.0807838987336,2.04890966415e-08,0.956008573503,192.40625,1.97089788077,-7.8781853009e-09,4.20017495415e-10,1,2249,0,2,0,1.39698386192e-09,35,342018,4
10,345618,-2.48639844358e-05,-1.5916157281e-12,0,49,-128.34375,3.99266631058e-09,-0.613972014079,-6.69434666634e-06,0.00846437679138,8.03172588348e-06,5153.69022369,345600,7.07805156708e-08,-1.10867757635,1.60187482834e-07,0.977151002056,232.59375,-2.44197021212,-7.90604360417e-09,-6.57170230921e-11,1,2249,0,2,0,2.32830643654e-09,49,341706,4
11,345618,-0.000105302780867,-1.0231815395e-11,0,159,-41.375,4.55304679553e-09,2.9557080665,-2.19978392124e-06,0.00076196831651,2.00420618057e-06,5153.70508003,345600,-3.72529029846e-08,-2.10257144029,-3.16649675369e-08,0.964714634522,340.71875,-2.69527857226,-8.30606026646e-09,-1.00361323309e-10,1,2249,0,2,0,-8.84756445885e-09,927,340639,4
12,345618,-0.000340819358826,-4.54747350886e-12,0,73,62.15625,4.4012547585e-09,0.0802000861641,3.04915010929e-06,0.00891425576992,9.24244523048e-06,5153.65793037,345600,-9.31322574615e-08,2.10546099462,3.72529029846e-08,0.966136956625,208.65625,1.33502189126,-7.9503311632e-09,-3.6858678169e-10,1,2249,0,2.82842707634,0,-1.25728547573e-08,73,338833,4
